Name of restaurant,City,Countty Code,Day of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
2 Amys Neapolitan Pizzeria,Washington,Washington,2,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,Washington,3,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,Washington,4,11,00,23,00
2 Amys Neapolitan Pizzeria,Washington,Washington,5,11,00,23,00
2 Amys Neapolitan Pizzeria,Washington,Washington,6,12,00,22,00
20 Spot,San Francisco,San Francisco,0,17,00,01,00
20 Spot,San Francisco,San Francisco,1,17,00,01,00
20 Spot,San Francisco,San Francisco,2,17,00,01,00
20 Spot,San Francisco,San Francisco,3,17,00,01,00
20 Spot,San Francisco,San Francisco,4,17,00,01,00
20 Spot,San Francisco,San Francisco,5,17,00,01,00
204 North Kitchen & Cocktails,Charlotte,Charlotte,0,11,00,00,00
204 North Kitchen & Cocktails,Charlotte,Charlotte,1,11,00,00,00
204 North Kitchen & Cocktails,Charlotte,Charlotte,2,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,Charlotte,3,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,Charlotte,4,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,Charlotte,5,11,00,02,00
204 North Kitchen & Cocktails,Charlotte,Charlotte,6,11,00,00,00
20th Street Caf¨¦,Denver,Denver,1,06,30,14,30
20th Street Caf¨¦,Denver,Denver,2,06,30,14,30
20th Street Caf¨¦,Denver,Denver,3,06,30,14,30
20th Street Caf¨¦,Denver,Denver,4,06,30,14,30
20th Street Caf¨¦,Denver,Denver,5,07,00,13,30
20th Street Caf¨¦,Denver,Denver,6,07,00,13,30
21 Shanghai House,New York,New York,0,11,00,21,30
21 Shanghai House,New York,New York,1,11,00,21,30
21 Shanghai House,New York,New York,2,11,00,21,30
21 Shanghai House,New York,New York,3,11,00,21,30
21 Shanghai House,New York,New York,4,11,00,22,00
21 Shanghai House,New York,New York,5,11,00,22,00
21 Shanghai House,New York,New York,6,11,00,21,30
24grille,Detroit,Detroit,0,11,00,00,00
24grille,Detroit,Detroit,1,11,00,00,00
24grille,Detroit,Detroit,2,11,00,00,00
24grille,Detroit,Detroit,3,11,00,00,00
24grille,Detroit,Detroit,4,11,00,02,00
24grille,Detroit,Detroit,5,11,00,02,00
24grille,Detroit,Detroit,6,11,00,22,00
259 Cafe,Perth,Perth,0,10,00,15,00
259 Cafe,Perth,Perth,2,10,00,15,00
259 Cafe,Perth,Perth,3,10,00,15,00
259 Cafe,Perth,Perth,4,10,00,15,00
259 Cafe,Perth,Perth,5,09,00,15,00
259 Cafe,Perth,Perth,6,09,00,15,00
26 grains,London,London,0,08,00,18,00
26 grains,London,London,1,08,00,18,00
26 grains,London,London,2,08,00,18,00
26 grains,London,London,3,08,00,18,00
26 grains,London,London,4,08,00,17,00
26 grains,London,London,5,10,00,16,00
26 grains,London,London,6,10,00,16,00
2nd City,New York,New York,0,11,00,23,00
2nd City,New York,New York,1,11,00,23,00
2nd City,New York,New York,2,11,00,23,00
2nd City,New York,New York,3,11,00,23,00
2nd City,New York,New York,4,11,00,23,00
2nd City,New York,New York,5,11,00,23,00
2nd City,New York,New York,6,11,00,23,00
3 Arts Club Cafe,Chicago,Chicago,0,10,00,20,00
3 Arts Club Cafe,Chicago,Chicago,1,10,00,20,00
3 Arts Club Cafe,Chicago,Chicago,2,10,00,20,00
3 Arts Club Cafe,Chicago,Chicago,3,10,00,20,00
3 Arts Club Cafe,Chicago,Chicago,4,10,00,20,00
3 Arts Club Cafe,Chicago,Chicago,5,10,00,20,00
3 Arts Club Cafe,Chicago,Chicago,6,11,00,18,00
3 Bro's Kabab House,Houston,Houston,0,11,00,22,00
3 Bro's Kabab House,Houston,Houston,1,11,00,22,00
3 Bro's Kabab House,Houston,Houston,2,11,00,22,00
3 Bro's Kabab House,Houston,Houston,3,11,00,22,00
3 Bro's Kabab House,Houston,Houston,4,14,00,22,00
3 Bro's Kabab House,Houston,Houston,5,11,00,22,00
